Date,open,high,low,close,volume,a_+10_d,p_+10_d
2010-01-04,18.350688246393,18.815903987579,18.332263860603,18.645478419026,2171500.0,,
2010-01-05,18.359900439288,18.719175962184,18.359900439288,18.700751576394,1481700.0,,
2010-01-06,18.608629647447,18.756024733763,18.571780875868,18.6915393835,2446700.0,,
2010-01-07,18.654690611921,18.700751576394,18.323051667709,18.442810175341,2832800.0,,
2010-01-08,18.452022368235,18.700751576394,18.313839474814,18.636266226131,1449200.0,,
2010-01-11,18.645478419026,18.792873505342,18.516507718499,18.682327190605,1788100.0,,
2010-01-12,18.571780875868,18.700751576394,18.258566317445,18.359900439288,1732800.0,,
2010-01-13,18.28620289613,18.562568682973,18.194080967182,18.534932104288,2277300.0,,
2010-01-14,18.442810175341,18.6915393835,18.359900439288,18.654690611921,1497900.0,,
2010-01-15,18.627054033236,18.792873505342,18.452022368235,18.571780875868,2327300.0,,
2010-01-19,18.571780875868,18.645478419026,18.461142439201,18.544144297183,1052300.0,,
2010-01-20,18.442810175341,18.516507718499,18.138807809813,18.359900439288,1920500.0,,
2010-01-21,18.415173596656,18.415173596656,17.411044571126,17.475529921389,4474300.0,,
2010-01-22,17.420256764021,17.530803078758,16.83988861165,16.895161769018,3887000.0,,
2010-01-25,17.125466591388,17.125466591388,16.812252032965,16.904373961913,2642600.0,,
2010-01-26,16.720130104018,16.978071505071,16.674069139544,16.674069139544,2569300.0,,
2010-01-27,16.692493525333,16.968859312177,16.664856946649,16.904373961913,3089100.0,,
2010-01-28,16.959647119282,17.088617819809,16.701705718228,16.803039840071,1790100.0,,
2010-01-29,16.830676418755,17.01492027665,16.572735017701,16.572735017701,3012900.0,,
2010-02-01,16.720130104018,17.134678784283,16.62800817507,16.968859312177,4002900.0,,
2010-02-02,17.005708083756,17.24522509902,16.950434926387,17.116254398493,1849600.0,,
2010-02-03,17.724259129548,17.751895708233,17.24522509902,17.558439657442,6138500.0,,
2010-02-04,17.43868114981,17.43868114981,16.885949576124,16.908980058361,3812000.0,,
2010-02-05,16.849100804545,17.328134835073,16.849100804545,17.318922642178,2936700.0,,
2010-02-08,17.383407992442,17.4571055356,16.572735017701,16.62800817507,4219400.0,,
2010-02-09,16.849100804545,17.060981241124,16.637220367965,16.766191068492,5746300.0,,
2010-02-10,16.710917911123,16.82146422586,16.508249667438,16.664856946649,3922900.0,,
2010-02-11,16.60958378928,16.876737383229,16.572735017701,16.720130104018,3077100.0,,
2010-02-12,16.60958378928,16.950527048316,16.462188702964,16.849100804545,4129200.0,,
2010-02-16,16.996495890861,17.153103170072,16.830676418755,17.088617819809,3088200.0,,
2010-02-17,17.143890977177,17.217588520336,16.932010540597,17.107042205598,2380900.0,,
2010-02-18,16.849100804545,17.180739748756,16.849100804545,17.143890977177,2217700.0,,
2010-02-19,17.134678784283,17.254437291915,17.03334466244,17.162315362967,2067300.0,,
2010-02-22,17.134678784283,17.180739748756,17.05176904823,17.070193434019,1220800.0,,
2010-02-23,17.134678784283,17.189951941651,16.941222733492,16.987283697966,2142800.0,,
2010-02-24,17.042556855335,17.236012906125,16.913586154808,17.134678784283,2183500.0,,
2010-02-25,16.858312997439,17.22680071323,16.83988861165,17.199164134546,1968800.0,,
2010-02-26,17.162315362967,17.291286063494,17.005708083756,17.162315362967,1901000.0,,
2010-03-01,17.22680071323,17.328134835073,17.107042205598,17.318922642178,1945500.0,,
2010-03-02,17.466317728494,17.908502987444,17.4571055356,17.733471322443,3351700.0,,
2010-03-03,17.825593251391,18.028261495076,17.742683515338,17.908502987444,2537400.0,,
2010-03-04,17.788744479812,18.304627281919,17.788744479812,18.194080967182,3462000.0,,
2010-03-05,18.138807809813,18.525719911394,18.138807809813,18.452022368235,3479400.0,,
2010-03-08,18.341476053498,18.507295525604,18.194080967182,18.488871139815,2695900.0,,
2010-03-09,18.359900439288,18.645478419026,18.332263860603,18.562568682973,2598100.0,,
2010-03-10,18.553356490078,18.654690611921,18.452022368235,18.627054033236,3057500.0,,
2010-03-11,18.433597982446,18.67311499771,18.433597982446,18.645478419026,1694800.0,,
